# prefix,country_code,region_code,city,postal
132.147.144.0/23,US,US-TX,Dallas,75207
143.55.59.0/24,US,US-TX,Dallas,75207
52.128.53.0/24,US,US-TX,Dallas,75207
52.144.111.0/24,US,US-TX,Dallas,75207
143.55.62.0/26,US,US-NE,Omaha,68102
132.147.142.0/24,US,US-NE,Omaha,68102
132.147.141.0/24,US,US-NE,Lincoln,68508
132.147.130.0/24,US,US-NE,Lincoln,68508
143.55.60.0/26,US,US-OK,Oklahoma City,73127
143.55.60.64/26,US,US-KS,Wichita,67052
132.147.140.0/24,US,US-IA,Des Moines,50309
132.147.136.0/24,US,US-IL,Chicago,60616
132.147.151.0/24,US,US-LA,Shreveport,71101
132.147.152.0/24,US,US-LA,Shreveport,71101
132.147.150.0/24,US,US-KS,Lenexa,66219
132.147.153.0/24,US,US-KS,Lenexa,66219
132.147.154.0/24,US,US-IN,Indianapolis,46225
132.147.155.0/24,US,US-IN,Indianapolis,46225
132.147.151.0/24,US,US-LA,Shreveport,71101
132.147.163.0/24,US,US-KS,Lenexa,66219
132.147.168.0/24,US,US-IA,Des Moines,50309
